,assessment_id,tool_version,tool_release_date,scenario,submitter_unit_id,L1,submitter_org_id,L2,L3,L4,L5,L6,L7,scenario_id,L8,spec_id,distribution_id,P1,P2,sdo_id,P3,P4,P5,P6,C1,C2,C3,assessment_date,io_spec_type
0,d1a946460c3ccbd03ae16bf1c512ef6e,3.1.0,2020-03-31,EIF,54e7c89e64e7be3fb83df2c3249d9d08,CAMSS Team,a9e8f43abb3595bab3f7b8a2b19a6795,everis,,,,CAMSS@everis.com,2020-06-30,c4da808d51612cb9fa91e5ba19e03773,European Interoperability Framework (EIF),f5f6a2d849bef1ed8dbcb08e4092418f,c6ca94bc-971e-4d62-85a4-32470bef624e,Asset Description Metadata Schema (ADMS),https://www.w3.org/TR/vocab-adms/,5fda6dea864232f7ba9b87719d506063,W3C (http://www.w3.org),,,,,,,2020-06-30,Generic Specification
0,71c4792169ca020d1f47b83a18628f12,3.1.0,2020-03-31,EIF,54e7c89e64e7be3fb83df2c3249d9d08,CAMSS Team,a9e8f43abb3595bab3f7b8a2b19a6795,everis,,,,CAMSS@everis.com,2020-08-31,c4da808d51612cb9fa91e5ba19e03773,European Interoperability Framework (EIF),57ddaec17321408af7311ffd04d56e9b,6e43a4ed-296a-424f-9d52-7cbc7799ca2f,Hypertext Markup Language (HTML) v4.01,https://www.w3.org/TR/html401/,5fda6dea864232f7ba9b87719d506063,W3C (http://www.w3.org),,,,,,,2020-08-31,Generic Specification
0,f181b51eb7460458e12ae5a6eb97f5fa,3.1.0,2020-03-31,EIF,54e7c89e64e7be3fb83df2c3249d9d08,CAMSS Team,a9e8f43abb3595bab3f7b8a2b19a6795,everis,,,,CAMSS@everis.com,2020-07-31,c4da808d51612cb9fa91e5ba19e03773,European Interoperability Framework (EIF),a1ba86c2a746d7cfa5bb3ef51147a10d,8da09018-f18d-42e6-84cd-3492cad80d0c,Tag image file format for image technology (TIFF/IT),https://www.iso.org/standard/34342.html,10335e1a8f48a1aebd2f6b354f3f1d69,Other SDO/SSO,,,,,,,2020-07-31,International Standard
0,41d0c092cad5085f5c0cb8513826aa0f,3.1.0,2020-03-31,EIF,54e7c89e64e7be3fb83df2c3249d9d08,CAMSS Team,a9e8f43abb3595bab3f7b8a2b19a6795,everis,,,,CAMSS@everis.com,2020-08-31,c4da808d51612cb9fa91e5ba19e03773,European Interoperability Framework (EIF),94ba1ac87c3c354cd3f018d8bb4a2669,4badfebc-d878-4424-84b7-dc265f4463ef,Joint Photographic Experts Group (JPEG),https://www.iso.org/standard/18902.html,10335e1a8f48a1aebd2f6b354f3f1d69,Other SDO/SSO,,,,,,,2020-08-31,International Standard
0,7bb566d90f661fb70e45c928017caf6a,3.1.0,2020-03-31,EIF,54e7c89e64e7be3fb83df2c3249d9d08,CAMSS Team,a9e8f43abb3595bab3f7b8a2b19a6795,everis,,,,CAMSS@everis.com,2020-07-31,c4da808d51612cb9fa91e5ba19e03773,European Interoperability Framework (EIF),23c5bf1f49f60c74dd447c23bb212783,47adda6f-081c-4fad-be75-e42b40c9c307,Open Document Format for Office Applications (ODF) v1.2,https://www.iso.org/standard/66363.html,10335e1a8f48a1aebd2f6b354f3f1d69,Other SDO/SSO,,,,,,,2020-07-31,International Standard
0,9b045f518d14ff803ab82dc1262976ca,3.1.0,2020-03-31,EIF,54e7c89e64e7be3fb83df2c3249d9d08,CAMSS Team,a9e8f43abb3595bab3f7b8a2b19a6795,everis,,,,CAMSS@everis.com,2020-07-31,c4da808d51612cb9fa91e5ba19e03773,European Interoperability Framework (EIF),1b1d5cdc5713275deffef774537e0a4a,b5b1ab7a-d9cc-4e4f-a562-5e3fd481c2ee,Simple Mail Transfer Protocol (SMTP),https://tools.ietf.org/html/rfc5321,a38b549dc5a2d4826ec41e4c6a053132,IETF (https://www.ietf.org/),,,,,,,2020-07-31,Generic Specification
0,56ab8428a180a2b040b460d435f81a24,3.1.0,2020-03-31,EIF,54e7c89e64e7be3fb83df2c3249d9d08,CAMSS Team,a9e8f43abb3595bab3f7b8a2b19a6795,everis,,,,CAMSS@everis.com,2020-07-31,c4da808d51612cb9fa91e5ba19e03773,European Interoperability Framework (EIF),dd1d3b76a7c5fd4fd010369fed355a72,e1edd0a7-4b01-420f-ba1c-e656a161617a,Portable Network Graphics (PNG),https://www.iso.org/standard/29581.html,10335e1a8f48a1aebd2f6b354f3f1d69,Other SDO/SSO,,,,,,,2020-07-31,International Standard
0,bf94b89bf2996d87d713c0479e748ab3,3.1.0,2020-03-31,EIF,54e7c89e64e7be3fb83df2c3249d9d08,CAMSS Team,a9e8f43abb3595bab3f7b8a2b19a6795,everis,,,,,2020-09-30,c4da808d51612cb9fa91e5ba19e03773,European Interoperability Framework (EIF),2e0411561dc64ec73632c360e0af33e9,f5ed3c6a-d097-4235-802a-a7cb4342da15,eXtensible Access Control Markup Language (XACML) v3.0,http://docs.oasis-open.org/xacml/3.0/errata01/xacml-3.0-core-spec-errata01.html,df2974c8a00bf5b050636c1a311cea63,OASIS (https://www.oasis-open.org/),,,,,,,2020-09-30,Generic Specification
0,ce5fff046045cf4af2ab518a63753da1,3.1.0,2020-03-31,EIF,54e7c89e64e7be3fb83df2c3249d9d08,CAMSS Team,a9e8f43abb3595bab3f7b8a2b19a6795,everis,,,,CAMSS@everis.com,2020-09-30,c4da808d51612cb9fa91e5ba19e03773,European Interoperability Framework (EIF),c7a9f50ba56ffcfb813c1957d99d5e9b,4a5041f9-c223-4e0f-8ab2-bfb9d219dc90,Web Services Business Process Execution Language (WS-BPEL) v2.0,http://docs.oasis-open.org/wsbpel/2.0/OS/wsbpel-v2.0-OS.html,df2974c8a00bf5b050636c1a311cea63,OASIS (https://www.oasis-open.org/),,,,,,,2020-09-30,Generic Specification
0,583f33a6ced165aa1ac27f0c6eb12166,3.1.0,2020-03-31,EIF,54e7c89e64e7be3fb83df2c3249d9d08,CAMSS Team,a9e8f43abb3595bab3f7b8a2b19a6795,everis,,,,CAMSS@everis.com,2020-08-31,c4da808d51612cb9fa91e5ba19e03773,European Interoperability Framework (EIF),a877fcb7e9e7df90d52398afc0ba2588,987f9f69-cd37-4308-b951-bfb56955e84d,Extensible HyperText Markup Language (XHTML) v1.0,https://www.w3.org/TR/xhtml1/,5fda6dea864232f7ba9b87719d506063,W3C (http://www.w3.org),,,,,,,2020-08-31,Generic Specification
